Selected indicators: Electricity generation (GWh).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected technologies: Total renewable energy; Hydropower; Marine; Wind; Solar; Bioenergy; Geothermal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected countries and areas: World; Africa; Algeria; Angola; Benin; Botswana; Burkina Faso; Burundi; Cabo Verde; Cameroon; Cent Afr Rep; Chad; Comoros; Congo DR; Congo Rep; Cote d Ivoire; Djibouti; Egypt; Eq Guinea; Eritrea; Eswatini; Ethiopia; Gabon; Gambia; Ghana; Guinea; Guinea Bissau; Kenya; Lesotho; Liberia; Libya; Madagascar; Malawi; Mali; Mauritania; Mauritius; Mayotte; Morocco; Mozambique; Namibia; Niger; Nigeria; Reunion; Rwanda; Saint Helena; Sao Tome Prn; Senegal; Seychelles; Sierra Leone; Somalia; South Africa; South Sudan; Sudan; Tanzania; Togo; Tunisia; Uganda; Westn Sahara; Zambia; Zimbabwe; Asia; Afghanistan; Bangladesh; Bhutan; Brunei Darsm; Cambodia; China; China HK SAR; China Mac SAR; Chinese Taipei; India; Indonesia; Japan; Kazakhstan; Korea DPR; Korea Rep; Kyrgyzstan; Lao PDR; Malaysia; Maldives; Mongolia; Myanmar; Nepal; Pakistan; Philippines; Singapore; Sri Lanka; Tajikistan; Thailand; Timor Leste; Turkmenistan; Uzbekistan; Viet Nam; C America + Carib; Anguilla; Antigua Barb; Aruba; Bahamas; Barbados; Belize; BES Islands; Br Virgin Is; Cayman Is; Costa Rica; Cuba; Curacao; Dominica; Dominican Rep; El Salvador; Grenada; Guadeloupe; Guatemala; Haiti; Honduras; Jamaica; Martinique; Montserrat; Nicaragua; Panama; Puerto Rico; St Barth; St Kitts Nevis; St Lucia; St Maarten; St Martin; St Vincent Gren; Trinidad Tobago; Turks Caicos; US Virgin Is; Eurasia; Armenia; Azerbaijan; Georgia; Russian Fed; Turkey; Europe; Albania; Andorra; Austria; Belarus; Belgium; Bosnia Herzg; Bulgaria; Croatia; Cyprus; Czechia; Denmark; Estonia; Faroe Islands; Finland; France; Germany; Gibraltar; Greece; Holy See; Hungary; Iceland; Ireland; Italy; Kosovo*; Latvia; Liechtenstein; Lithuania; Luxembourg; Malta; Moldova Rep; Monaco; Montenegro; Netherlands; North Macedonia; Norway; Poland; Portugal; Romania; San Marino; Serbia; Slovakia; Slovenia; Spain; Sweden; Switzerland; UK; Ukraine; European Union; Middle East; Bahrain; Iran IR; Iraq; Israel; Jordan; Kuwait; Lebanon; Oman; Palestine; Qatar; Saudi Arabia; Syrian AR; United Arab Em; Yemen; N America; Bermuda; Canada; Greenland; Mexico; St Pierre Mq; USA; Oceania; Amer Samoa; Australia; Christmas Is; Cocos Is; Cook Is; Fiji; Fr Polynesia; Guam; Kiribati; Marshall Is; Micronesia; Nauru; New Caledon; New Zealand; Niue; Norfolk Is; Nth Mariana Is; Palau; Papua N Guin; Pitcairn; Samoa; Solomon Is; Tokelau; Tonga; Tuvalu; Vanuatu; Wallis Fut Is; S America; Argentina; Bolivia; Brazil; Chile; Colombia; Ecuador; Falklands Malv; Fr Guiana; Guyana; Paraguay; Peru; Suriname; Uruguay; Venezuela.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected years: 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show data flags: no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IRENA (2019), Renewable Energy Statistics 2019, The International Renewable Energy Agency, Abu Dhabi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Country/area,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity generation (GWh),World,Total renewable energy,2 850 585,2 800 050,2 893 738,2 914 614,3 125 983,3 284 165,3 438 639,3 542 214,3 760 987,3 897 851,4 199 274,4 402 402,4 755 833,5 041 315,5 330 716,5 526 664,5 897 647,6 190 948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,2 709 337,2 651 992,2 717 631,2 716 152,2 890 425,3 004 929,3 117 402,3 158 180,3 299 216,3 348 943,3 531 243,3 583 384,3 771 581,3 876 459,3 996 284,3 991 419,4 163 728,4 158 175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,  546,  524,  533,  530,  508,  516,  490,  495,  487,  486,  515,  564,  963,  925,  998, 1 009, 1 023, 1 041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind, 30 925, 37 716, 52 419, 63 007, 83 568, 102 677, 128 906, 168 103, 215 764, 270 953, 342 092, 432 480, 524 489, 635 110, 712 027, 828 251, 954 658,1 134 451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar, 1 334, 1 703, 1 980, 2 404, 3 086, 4 406, 6 024, 8 118, 12 818, 21 028, 33 825, 65 501, 101 387, 137 921, 192 985, 252 630, 325 098, 437 287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy, 142 163, 142 430, 156 325, 167 014, 182 518, 205 831, 218 920, 240 227, 257 903, 277 060, 317 017, 341 023, 375 692, 407 865, 443 739, 466 470, 485 014, 495 395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal, 52 567, 51 641, 52 564, 53 727, 55 987, 58 406, 59 698, 62 665, 65 258, 67 287, 68 454, 69 744, 70 716, 72 132, 77 155, 81 048, 83 113, 85 978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,Total renewable energy, 79 396, 86 712, 84 755, 86 677, 91 702, 98 612, 100 924, 99 567, 104 787, 111 192, 116 713, 117 436, 120 443, 128 408, 137 053, 141 196, 142 833, 152 721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower, 78 452, 85 318, 84 070, 86 294, 91 331, 97 952, 100 252, 98 546, 103 199, 108 982, 113 628, 113 559, 115 733, 122 381, 126 820, 125 969, 123 055, 130 134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  173,  413,  452,  466,  637,  800,  805,  987, 1 232, 1 494, 2 027, 2 421, 2 831, 3 522, 5 522, 7 696, 10 355, 11 722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  15,  18,  22,  26,  32,  38,  48,  64,  83,  115,  220,  517,  727,  902, 2 047, 3 500, 5 302, 7 492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy, 2 163, 2 189, 2 256, 2 222, 2 302, 2 321, 2 318, 2 298, 2 396, 2 433, 2 500, 2 535, 2 744, 2 814, 2 904, 2 912, 3 038, 3 091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,  432,  475,  438,  588,  912, 1 019, 1 030, 1 061, 1 144, 1 301, 1 401, 1 497, 1 587, 1 906, 3 206, 4 481, 4 689, 4 871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Algeria,Total renewable energy,  54,  69,  57,  265,  251,  555,  218,  226,  283,  342,  173,  481,  583,  291,  391,  327,  431,  635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,  54,  69,  57,  265,  251,  555,  218,  226,  283,  342,  173,  378,  389,  99,  193,  145,  72,  56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
